Id_studenta;Imie;Nazwisko;Uczelnia;;Miejsce_zam;Rok_studiow;Dochod_na_osobe;kod_pocztowy;miejsce_zam;;kod_pocztowy;miejsce_zam;id_uczelni;id_miasta;
72;Danuta;Wojciechowska;Uniwersytet Królewski;10;Będzin 69-501;V;1298;69-501;Będzin;;69-501;Będzin;5;7;Kety
73;Katarzyna;Kausek;Uniwersytet Pedagogiczny;10;Strzelce Opolskie 60-596;I;847;60-596;Strzelce Opolskie;;60-596;Strzelce Opolskie;7;172;Kędzierzyn-Koźle
74;Maria;Swoboda;Politechnika Królewska;10;Leszno 90-272;I;1032;90-272;Leszno;;90-272;Leszno;3;98;Kępice
75;Witold;Basik;Politechnika Informatyczno-Elektroniczna;10;Dębica 53-306;II;2428;53-306;Dębica;;53-306;Dębica;2;30;Kielce
76;Brygida;Mika;Politechnika Królewska;10;Tarnobrzeg 85-266;IV;562;85-266;Tarnobrzeg;;85-266;Tarnobrzeg;3;185;Kleszczów
77;Mariola;Barszczon;Uniwersytet Pedagogiczny;10;Oświęcim 27-702;I;2664;27-702;Oświęcim;;27-702;Oświęcim;7;135;Kłomnice
78;Karina;Wozniak;Politechnika Informatyczno-Elektroniczna;10;Bielsk Podlaski 96-087;V;2485;96-087;Bielsk Podlaski;;96-087;Bielsk Podlaski;2;11;Kobylin
79;Michal;Kostrzewa;Politechnika Informatyczno-Elektroniczna;10;Katowice 72-241;III;2267;72-241;Katowice;;72-241;Katowice;2;71;Kobylin-Borzymy
80;Artur;Duszczyk;Politechnika Informatyczno-Elektroniczna;10;Zawiercie 58-922;I;715;58-922;Zawiercie;;58-922;Zawiercie;2;215;Kogutek
81;Nikodem;Nowicki;Uniwersytet Sportu i Turystyki;10;Jejkowice 67-738;V;1703;67-738;Jejkowice;;67-738;Jejkowice;9;63;Kołbaskowo
82;Jadwiga;Borek;Uniwersytet Królewski;10;Nałęczów 83-630;V;1634;83-630;Nałęczów;;83-630;Nałęczów;5;123;Koniaków
83;Jaroslaw;Firek;Uniwersytet Rolniczy;10;Jasło 92-050;IV;2697;92-050;Jasło;;92-050;Jasło;8;59;Konin
84;Grzegorz;Podsiadly;Uniwersytet Sportu i Turystyki;10;Świętochłowice 38-932;I;1454;38-932;Świętochłowice;;38-932;Świętochłowice;9;183;Kostrzyn
85;Wawrzyniec;Kalinowski;Uniwersytet Królewski;10;Ogrodzieniec 82-082;V;875;82-082;Ogrodzieniec;;82-082;Ogrodzieniec;5;129;Koszalin
86;Boleslaw;Drozdz;Uniwersytet Królewski;10;Poraj 80-436;I;1233;80-436;Poraj;;80-436;Poraj;5;143;Kościan
87;Korneliusz;Gajos;Politechnika Królewska;10;Otmuchów 69-204;II;1517;69-204;Otmuchów;;69-204;Otmuchów;3;136;Krapkowice
88;Agnieszka;Muszynska;Uniwersytet Królewski;10;Dąbrowa Górnicza 75-727;I;795;75-727;Dąbrowa Górnicza;;75-727;Dąbrowa Górnicza;5;28;Kraśnik
89;Alicja;Bankowska;Uniwersytet Królewski;10;Świętochłowice 38-932;I;2913;38-932;Świętochłowice;;38-932;Świętochłowice;5;183;Krosno
90;Barbara;Boronowska;Akademia Sztuk Pięknych;#N/D;Kielce 04-274;I;874;04-274;Kielce;;04-274;Kielce;1;75;Kruszwica
91;Ireneusz;Pazdziernik;Politechnika Królewska;10;Koszalin 36-759;II;2759;36-759;Koszalin;;36-759;Koszalin;3;85;Krzeszowice
92;Maciej;Golec;Politechnika Informatyczno-Elektroniczna;10;Halinów 33-056;II;1906;33-056;Halinów;;33-056;Halinów;2;52;Krzyż Wielkopolski
93;Maciej;Slomczynski;Uniwersytet Królewski;10;Nowy Targ 84-043;I;710;84-043;Nowy Targ;;84-043;Nowy Targ;5;125;Kudowa-Słone
94;Tymon;Czarna;Politechnika Królewska;10;Monki 32-544;IV;1051;32-544;Monki;;32-544;Monki;3;119;Kuźnia Raciborska
95;Janina;Lina;Politechnika Informatyczno-Elektroniczna;10;Racibórz 00-355;I;2968;00-355;Racibórz;;00-355;Racibórz;2;153;Kuźnica Białostocka
96;Kaja;Kalwas;Uniwersytet Królewski;10;Nowy Sącz 62-813;II;1600;62-813;Nowy Sącz;;62-813;Nowy Sącz;5;124;Legionowo
97;Anna;Pulka;Uniwersytet Królewski;10;Jaworzno 98-650;I;1600;98-650;Jaworzno;;98-650;Jaworzno;5;61;Legnica
98;Waclawa;Kasperek;Politechnika Informatyczno-Elektroniczna;10;Grudziądz 43-210;II;2710;43-210;Grudziądz;;43-210;Grudziądz;2;49;Leszno
99;Cezary;Karpowicz;Politechnika Informatyczno-Elektroniczna;10;Ogrodzieniec 82-082;I;2993;82-082;Ogrodzieniec;;82-082;Ogrodzieniec;2;129;Lędziny
100;Malgorzata;Balcerzak;Politechnika Informatyczno-Elektroniczna;10;Jaworzynka 56-921;I;748;56-921;Jaworzynka;;56-921;Jaworzynka;2;62;Limanowa
101;Kacper;Wosik;Politechnika Informatyczno-Elektroniczna;10;Krapkowice 94-560;I;2343;94-560;Krapkowice;;94-560;Krapkowice;2;87;Lódź
102;Stefan;Biegajski;Politechnika Informatyczno-Elektroniczna;10;Bielsk Podlaski 96-087;II;1837;96-087;Bielsk Podlaski;;96-087;Bielsk Podlaski;2;11;Lubaczów
103;Tomasz;Jasak;Uniwersytet Królewski;10;Przemyśl 38-959;III;923;38-959;Przemyśl;;38-959;Przemyśl;5;147;Lublin
104;Witold;Barylkiewicz;Uniwersytet Ekonomiczny;10;Racibórz 00-355;II;632;00-355;Racibórz;;00-355;Racibórz;4;153;Lubliniec
105;Michal;Bilski;Politechnika Informatyczno-Elektroniczna;10;Kędzierzyn-Koźle 81-133;II;2807;81-133;Kędzierzyn-Koźle;;81-133;Kędzierzyn-Koźle;2;73;Lwówek Sląski
106;Kazimierz;Sycowski;Uniwersytet Rolniczy;10;Nowy Targ 84-043;I;2331;84-043;Nowy Targ;;84-043;Nowy Targ;8;125;Łazy
107;Marcin;Bacz;Uniwersytet Pedagogiczny;10;Gorzów Wielkopolski 78-003;I;2973;78-003;Gorzów Wielkopolski;;78-003;Gorzów Wielkopolski;7;47;Łęczyca
108;Jolanta;Czubacka;Politechnika Informatyczno-Elektroniczna;10;Oświęcim 27-702;I;2385;27-702;Oświęcim;;27-702;Oświęcim;2;135;Łomża
109;Andrzej;Jurkowski;Politechnika Informatyczno-Elektroniczna;10;Szczyrk 75-361;IV;1487;75-361;Szczyrk;;75-361;Szczyrk;2;180;Malbork
110;Ireneusz;Alotek;Politechnika Informatyczno-Elektroniczna;10;Mysłowice 13-220;I;3140;13-220;Mysłowice;;13-220;Mysłowice;2;121;Medyka
111;Janusz;Judycki;Uniwersytet Ekonomiczny;10;Kruszwica 33-294;I;1361;33-294;Kruszwica;;33-294;Kruszwica;4;90;Miechów
112;Grazyna;Pawlowska;Politechnika Królewska;10;Halinów 33-056;V;2799;33-056;Halinów;;33-056;Halinów;3;52;miejsce_zam
113;Adam;Sliz;Politechnika Królewska;10;Piwniczna-Zdrój 09-592;I;1077;09-592;Piwniczna-Zdrój;;09-592;Piwniczna-Zdrój;3;141;Międzyrzecz
114;Damian;Bawicz;Politechnika Królewska;10;Kety 36-844;I;1161;36-844;Kety;;36-844;Kety;3;72;Międzyrzecze
115;Bronislawa;Wegrzyn;Politechnika Królewska;10;Radom 43-586;IV;2404;43-586;Radom;;43-586;Radom;3;154;Mikołajki
116;Jaromir;Gonczyk;Politechnika Informatyczno-Elektroniczna;10;Radom 43-586;III;2523;43-586;Radom;;43-586;Radom;2;154;Mikołów
117;Amadeusz;Toborek;Politechnika Królewska;10;Jędrzejów 62-049;II;2469;62-049;Jędrzejów;;62-049;Jędrzejów;3;66;Mirów
118;Jakub;Socha;Uniwersytet Rolniczy;10;Kielce 04-274;I;2025;04-274;Kielce;;04-274;Kielce;8;75;Młynarze
119;Katarzyna;Dwornik;Politechnika Informatyczno-Elektroniczna;10;Siewierz 65-885;I;2745;65-885;Siewierz;;65-885;Siewierz;2;164;Monki
120;Celina;Wisniewska;Politechnika Informatyczno-Elektroniczna;10;Tarnów 87-348;I;822;87-348;Tarnów;;87-348;Tarnów;2;187;Mordy
121;Konstancja;Raszyn;Politechnika Informatyczno-Elektroniczna;10;Gorki Male 36-984;II;2946;36-984;Gorki Male;;36-984;Gorki Male;2;46;Mysłowice
122;Edyta;Tomczyk;Uniwersytet Królewski;10;Dęblin 53-807;II;2384;53-807;Dęblin;;53-807;Dęblin;5;31;Myszków
123;Jerzy;Semeniuk;Politechnika Królewska;10;Zabrze 91-525;I;1482;91-525;Zabrze;;91-525;Zabrze;3;211;Nałęczów
124;Helena;Maczynska;Uniwersytet Królewski;10;Monki 32-544;I;2171;32-544;Monki;;32-544;Monki;5;119;Nowy Sącz
125;Jaroslaw;Bajda;Politechnika Informatyczno-Elektroniczna;10;Kłomnice 43-045;I;1182;43-045;Kłomnice;;43-045;Kłomnice;2;77;Nowy Targ
126;Klemens;Rokosz;Politechnika Królewska;10;Chyżne 76-235;I;667;76-235;Chyżne;;76-235;Chyżne;3;22;Nysa
127;Jakub;Wtorek;Politechnika Królewska;10;Chorzów 97-545;V;3263;97-545;Chorzów;;97-545;Chorzów;3;21;Oborniki
128;Adrianna;Brzezinska;Politechnika Królewska;10;Sosnowiec 14-721;III;2913;14-721;Sosnowiec;;14-721;Sosnowiec;3;170;Ogrodniki
129;Karol;Binski;Politechnika Królewska;10;Wadowice 47-222;I;2497;47-222;Wadowice;;47-222;Wadowice;3;195;Ogrodzieniec
130;Iwona;Nyska;Uniwersytet Królewski;10;Katowice 72-241;I;2169;72-241;Katowice;;72-241;Katowice;5;71;Olkusz
131;Cecylia;Czylok;Uniwersytet Królewski;10;Kędzierzyn-Koźle 81-133;I;828;81-133;Kędzierzyn-Koźle;;81-133;Kędzierzyn-Koźle;5;73;Olsztyn
132;Mateusz;Antoniak;Politechnika Królewska;10;Bytom 80-339;I;2699;80-339;Bytom;;80-339;Bytom;3;18;Olszyna
133;Adam;Kaleta;Uniwersytet Królewski;10;Mysłowice 13-220;I;1446;13-220;Mysłowice;;13-220;Mysłowice;5;121;Opole
134;Michal;Salacinski;Politechnika Informatyczno-Elektroniczna;10;Lublin 79-726;II;1608;79-726;Lublin;;79-726;Lublin;2;103;Ostrołęka
135;Krzysztof;Krzesinski;Uniwersytet Rolniczy;10;Kety 36-844;I;2586;36-844;Kety;;36-844;Kety;8;72;Oświęcim
136;Zofia;Gorajska;Politechnika Królewska;10;Olkusz 19-255;II;2428;19-255;Olkusz;;19-255;Olkusz;3;130;Otmuchów
137;Janusz;Aleksandrowicz;Politechnika Informatyczno-Elektroniczna;10;Gdynia 13-179;I;2701;13-179;Gdynia;;13-179;Gdynia;2;40;Piechowice
138;Danuta;Zasada;Politechnika Informatyczno-Elektroniczna;10;Nowy Sącz 62-813;I;525;62-813;Nowy Sącz;;62-813;Nowy Sącz;2;124;Pila
139;Aleksander;Rutkowski;Politechnika Informatyczno-Elektroniczna;10;Zakopane 00-995;IV;560;00-995;Zakopane;;00-995;Zakopane;2;212;Pilica
140;Karina;Mikolajczak;Politechnika Informatyczno-Elektroniczna;10;Kruszwica 33-294;I;642;33-294;Kruszwica;;33-294;Kruszwica;2;90;Piotrków Trybunalski
141;Aleksy;Pobereznik;Politechnika Informatyczno-Elektroniczna;10;Jaworzno 98-650;III;3152;98-650;Jaworzno;;98-650;Jaworzno;2;61;Piwniczna-Zdrój
142;Beata;Domnicz;Politechnika Królewska;10;Dzierżoniów 87-324;V;3177;87-324;Dzierżoniów;;87-324;Dzierżoniów;3;36;Płock
143;Juliusz;Blazowski;Politechnika Informatyczno-Elektroniczna;10;Brańsk 29-325;IV;3144;29-325;Brańsk;;29-325;Brańsk;2;14;Poraj
144;Kacper;Stachowicz;Uniwersytet Królewski;10;Sucha Beskidzka 98-902;II;775;98-902;Sucha Beskidzka;;98-902;Sucha Beskidzka;5;173;Poznań
145;Paulina;Lewinska;Uniwersytet Królewski;10;Przemyśl 38-959;I;714;38-959;Przemyśl;;38-959;Przemyśl;5;147;Prudnik
146;Krzysztof;Wroblewski;Politechnika Informatyczno-Elektroniczna;10;Piotrków Trybunalski 04-419;I;919;04-419;Piotrków Trybunalski;;04-419;Piotrków Trybunalski;2;140;Przasnysz
147;Jan;Bieniek;Uniwersytet Królewski;10;Rogoźnik 74-768;I;805;74-768;Rogoźnik;;74-768;Rogoźnik;5;156;Przemyśl
148;Magdalena;Wawrzyn;Politechnika Informatyczno-Elektroniczna;10;Lędziny 27-535;I;1189;27-535;Lędziny;;27-535;Lędziny;2;99;Pszczyna
149;Marek;Bakucha;Akademia Sztuk Pięknych;#N/D;Szczyrk 75-361;I;3313;75-361;Szczyrk;;75-361;Szczyrk;1;180;Puławy
150;Teofil;Chudy;Politechnika Informatyczno-Elektroniczna;10;Mikołów 96-497;II;2530;96-497;Mikołów;;96-497;Mikołów;2;116;Pyrzowice
151;Krzysztof;Rosiewicz;Politechnika Królewska;10;Ogrodzieniec 82-082;I;680;82-082;Ogrodzieniec;;82-082;Ogrodzieniec;3;129;Pyrzyce
152;Mikolaj;Jozwiak;Politechnika Królewska;10;Gierałtowice 04-834;I;1880;04-834;Gierałtowice;;04-834;Gierałtowice;3;42;Rabka
153;Olga;Berus;Politechnika Informatyczno-Elektroniczna;10;Jaworzynka 56-921;I;2791;56-921;Jaworzynka;;56-921;Jaworzynka;2;62;Racibórz
154;Halina;Haczyk;Uniwersytet Królewski;10;Pszczyna 53-858;V;3243;53-858;Pszczyna;;53-858;Pszczyna;5;148;Radom
155;Sebastian;Lewandowski;Uniwersytet Ekonomiczny;10;Sosnowiec 14-721;II;1434;14-721;Sosnowiec;;14-721;Sosnowiec;4;170;Rajcza
156;Barbara;Kotwicka;Uniwersytet Królewski;10;Łęczyca 16-385;V;2308;16-385;Łęczyca;;16-385;Łęczyca;5;107;Rogoźnik
157;Jerzy;Bolkowicz;Politechnika Królewska;10;Rybnik 24-983;I;2451;24-983;Rybnik;;24-983;Rybnik;3;158;Ruda Sląska
158;Michal;Wojciechowski;Politechnika Informatyczno-Elektroniczna;10;Świecko 47-842;V;2423;47-842;Świecko;;47-842;Świecko;2;181;Rybnik
159;Inga;Barskacz;Politechnika Informatyczno-Elektroniczna;10;Sławków 42-081;I;2848;42-081;Sławków;;42-081;Sławków;2;167;Rzeszów
160;Jerzy;Lubec;Politechnika Informatyczno-Elektroniczna;10;Sławków 42-081;I;1599;42-081;Sławków;;42-081;Sławków;2;167;Sanok
161;Malgorzata;Szulim;Politechnika Informatyczno-Elektroniczna;10;Dębowiec 36-478;I;1899;36-478;Dębowiec;;36-478;Dębowiec;2;32;Siedlce
162;Marcin;Hebda;Politechnika Informatyczno-Elektroniczna;10;Rabka 30-698;I;2725;30-698;Rabka;;30-698;Rabka;2;152;Siemianowice Sląskie
163;Andrzej;Wieczorek;Politechnika Królewska;10;Sanok 71-890;III;2555;71-890;Sanok;;71-890;Sanok;3;160;Sieradz
164;Jan;Babul;Uniwersytet Królewski;10;Żywiec 00-137;I;2720;00-137;Żywiec;;00-137;Żywiec;5;220;Siewierz
165;Kinga;Myszograj;Politechnika Królewska;10;Pszczyna 53-858;IV;2155;53-858;Pszczyna;;53-858;Pszczyna;3;148;Skierniewice
166;Grazyna;Chrust;Politechnika Informatyczno-Elektroniczna;10;Częstochowa 86-116;I;792;86-116;Częstochowa;;86-116;Częstochowa;2;26;Skorogoszcz
167;Dorota;Pietrowicz;Politechnika Informatyczno-Elektroniczna;10;Wadowice 47-222;I;1071;47-222;Wadowice;;47-222;Wadowice;2;195;Sławków
168;Hanna;Wrona;Politechnika Informatyczno-Elektroniczna;10;Szczekociny 66-008;V;1493;66-008;Szczekociny;;66-008;Szczekociny;2;179;Sobotka
169;Janusz;Wysocki;Uniwersytet Rolniczy;10;Chorzów 97-545;I;1191;97-545;Chorzów;;97-545;Chorzów;8;21;Sopot
170;Adam;Baryla;Politechnika Królewska;10;Ciechocinek 98-839;I;1347;98-839;Ciechocinek;;98-839;Ciechocinek;3;24;Sosnowiec
171;Szymon;Duda;Uniwersytet Królewski;10;Zabrodzie 71-608;I;1160;71-608;Zabrodzie;;71-608;Zabrodzie;5;210;Sośnicowice
172;Anna;Bialowas;Uniwersytet Pedagogiczny;10;Szczekociny 66-008;I;1544;66-008;Szczekociny;;66-008;Szczekociny;7;179;Strzelce Opolskie
